id,phase,intel,speaker,cognitive_skills,standard_score
71,pretest,54.43037975,PDM10,pattern_c,107
72,posttest,57.98319328,PDM10,list_sort_c,107
72,posttest,57.98319328,PDM10,flanker_c,97
72,posttest,57.98319328,PDM10,card_sort_c,107
72,posttest,57.98319328,PDM10,vocab_c,119
72,posttest,57.98319328,PDM10,pattern_c,119
72,pretest,49.36708861,PDM10,list_sort_c,107
72,pretest,49.36708861,PDM10,flanker_c,97
72,pretest,49.36708861,PDM10,card_sort_c,107
72,pretest,49.36708861,PDM10,vocab_c,119
72,pretest,49.36708861,PDM10,pattern_c,119
73,posttest,55.88235294,PDM10,list_sort_c,107
73,posttest,55.88235294,PDM10,flanker_c,108
73,posttest,55.88235294,PDM10,card_sort_c,124
73,posttest,55.88235294,PDM10,vocab_c,114
73,posttest,55.88235294,PDM10,pattern_c,96
73,pretest,48.10126582,PDM10,list_sort_c,107
73,pretest,48.10126582,PDM10,flanker_c,108
73,pretest,48.10126582,PDM10,card_sort_c,124
73,pretest,48.10126582,PDM10,vocab_c,114
73,pretest,48.10126582,PDM10,pattern_c,96
74,posttest,53.78151261,PDM10,list_sort_c,112
74,posttest,53.78151261,PDM10,flanker_c,108
74,posttest,53.78151261,PDM10,card_sort_c,118
74,posttest,53.78151261,PDM10,vocab_c,103
74,posttest,53.78151261,PDM10,pattern_c,96
74,pretest,58.2278481,PDM10,list_sort_c,112
74,pretest,58.2278481,PDM10,flanker_c,108
74,pretest,58.2278481,PDM10,card_sort_c,118
74,pretest,58.2278481,PDM10,vocab_c,103
74,pretest,58.2278481,PDM10,pattern_c,96
75,posttest,67.64705882,PDM10,list_sort_c,107
75,posttest,67.64705882,PDM10,flanker_c,86
75,posttest,67.64705882,PDM10,card_sort_c,96
75,posttest,67.64705882,PDM10,vocab_c,108
75,posttest,67.64705882,PDM10,pattern_c,135
75,pretest,60.75949367,PDM10,list_sort_c,107
75,pretest,60.75949367,PDM10,flanker_c,86
75,pretest,60.75949367,PDM10,card_sort_c,96
75,pretest,60.75949367,PDM10,vocab_c,108
75,pretest,60.75949367,PDM10,pattern_c,135
76,posttest,46.21848739,PDM10,list_sort_c,86
76,posttest,46.21848739,PDM10,flanker_c,59
76,posttest,46.21848739,PDM10,card_sort_c,84
76,posttest,46.21848739,PDM10,vocab_c,108
76,posttest,46.21848739,PDM10,pattern_c,91
76,pretest,41.7721519,PDM10,list_sort_c,86
76,pretest,41.7721519,PDM10,flanker_c,59
76,pretest,41.7721519,PDM10,card_sort_c,84
76,pretest,41.7721519,PDM10,vocab_c,108
76,pretest,41.7721519,PDM10,pattern_c,91
78,posttest,54.62184874,PDM10,list_sort_c,96
78,posttest,54.62184874,PDM10,flanker_c,75
78,posttest,54.62184874,PDM10,card_sort_c,95
78,posttest,54.62184874,PDM10,vocab_c,114
78,posttest,54.62184874,PDM10,pattern_c,79
78,pretest,49.36708861,PDM10,list_sort_c,96
78,pretest,49.36708861,PDM10,flanker_c,75
78,pretest,49.36708861,PDM10,card_sort_c,95
78,pretest,49.36708861,PDM10,vocab_c,114
78,pretest,49.36708861,PDM10,pattern_c,79
79,posttest,44.95798319,PDM10,list_sort_c,102
79,posttest,44.95798319,PDM10,flanker_c,75
79,posttest,44.95798319,PDM10,card_sort_c,100
79,posttest,44.95798319,PDM10,vocab_c,103
79,posttest,44.95798319,PDM10,pattern_c,101
79,pretest,44.30379747,PDM10,list_sort_c,102
79,pretest,44.30379747,PDM10,flanker_c,75
79,pretest,44.30379747,PDM10,card_sort_c,100
79,pretest,44.30379747,PDM10,vocab_c,103
79,pretest,44.30379747,PDM10,pattern_c,101
80,posttest,38.65546218,PDM10,list_sort_c,102
80,posttest,38.65546218,PDM10,flanker_c,85
80,posttest,38.65546218,PDM10,card_sort_c,89
80,posttest,38.65546218,PDM10,vocab_c,109
80,posttest,38.65546218,PDM10,pattern_c,101
80,pretest,50.63291139,PDM10,list_sort_c,102
80,pretest,50.63291139,PDM10,flanker_c,85
80,pretest,50.63291139,PDM10,card_sort_c,89
80,pretest,50.63291139,PDM10,vocab_c,109
80,pretest,50.63291139,PDM10,pattern_c,101
81,posttest,47.65957447,AM1,list_sort_c,96
81,posttest,47.65957447,AM1,flanker_c,80
81,posttest,47.65957447,AM1,card_sort_c,78
81,posttest,47.65957447,AM1,vocab_c,103
81,posttest,47.65957447,AM1,pattern_c,85
81,pretest,37.97468354,AM1,list_sort_c,96
81,pretest,37.97468354,AM1,flanker_c,80
81,pretest,37.97468354,AM1,card_sort_c,78
81,pretest,37.97468354,AM1,vocab_c,103
81,pretest,37.97468354,AM1,pattern_c,85
82,posttest,37.0212766,AM1,list_sort_c,97
82,posttest,37.0212766,AM1,flanker_c,103
82,posttest,37.0212766,AM1,card_sort_c,124
82,posttest,37.0212766,AM1,vocab_c,96
82,posttest,37.0212766,AM1,pattern_c,135
82,pretest,35.44303797,AM1,list_sort_c,97
82,pretest,35.44303797,AM1,flanker_c,103
82,pretest,35.44303797,AM1,card_sort_c,124
82,pretest,35.44303797,AM1,vocab_c,96
82,pretest,35.44303797,AM1,pattern_c,135
83,posttest,41.27659574,AM1,list_sort_c,96
83,posttest,41.27659574,AM1,flanker_c,91
83,posttest,41.27659574,AM1,card_sort_c,84
83,posttest,41.27659574,AM1,vocab_c,108
83,posttest,41.27659574,AM1,pattern_c,118
83,pretest,26.58227848,AM1,list_sort_c,96
83,pretest,26.58227848,AM1,flanker_c,91
83,pretest,26.58227848,AM1,card_sort_c,84
83,pretest,26.58227848,AM1,vocab_c,108
83,pretest,26.58227848,AM1,pattern_c,118
84,posttest,40.42553191,AM1,list_sort_c,91
84,posttest,40.42553191,AM1,flanker_c,86
84,posttest,40.42553191,AM1,card_sort_c,130
84,posttest,40.42553191,AM1,vocab_c,96
84,posttest,40.42553191,AM1,pattern_c,124
84,pretest,31.64556962,AM1,list_sort_c,91
84,pretest,31.64556962,AM1,flanker_c,86
84,pretest,31.64556962,AM1,card_sort_c,130
84,pretest,31.64556962,AM1,vocab_c,96
