id,phase,intel,speaker,list_sort_c,flanker_c,card_sort_c,vocab_c,pattern_c
228,posttest,90.75630252,ALSM1,102,75,118,118,107
228,pretest,77.21518987,ALSM1,102,75,118,118,107
229,posttest,86.97478992,ALSM1,112,96,100,100,128
229,pretest,78.48101266,ALSM1,112,96,100,100,128
230,posttest,86.13445378,ALSM1,,91,106,106,134
230,pretest,79.74683544,ALSM1,,91,106,106,134
231,posttest,86.97478992,ALSM1,91,86,96,96,107
231,pretest,82.27848101,ALSM1,91,86,96,96,107
233,posttest,86.97478992,ALSM1,88,95,108,108,89
233,pretest,87.34177215,ALSM1,88,95,108,108,89
234,posttest,76.8907563,ALSM1,134,86,107,107,129
234,pretest,74.6835443,ALSM1,134,86,107,107,129
235,posttest,88.23529412,ALSM1,123,109,131,131,136
235,pretest,78.48101266,ALSM1,123,109,131,131,136
236,posttest,84.87394958,ALSM1,107,102,78,78,90
236,pretest,84.81012658,ALSM1,107,102,78,78,90
237,posttest,84.03361345,ALSM1,123,85,83,83,128
237,pretest,70.88607595,ALSM1,123,85,83,83,128
238,posttest,77.73109244,ALSM1,96,91,117,117,101
238,pretest,73.41772152,ALSM1,96,91,117,117,101
239,posttest,78.57142857,ALSM1,80,85,111,111,106
239,pretest,70.88607595,ALSM1,80,85,111,111,106
240,posttest,81.93277311,ALSM1,128,91,123,123,106
240,pretest,70.88607595,ALSM1,128,91,123,123,106
241,posttest,81.51260504,ALSM1,96,102,101,101,118
241,pretest,82.27848101,ALSM1,96,102,101,101,118
242,posttest,80.67226891,ALSM1,86,80,100,100,101
242,pretest,75.94936709,ALSM1,86,80,100,100,101
243,posttest,81.51260504,ALSM1,96,129,112,112,96
243,pretest,77.21518987,ALSM1,96,129,112,112,96
244,posttest,84.87394958,ALSM1,101,96,117,117,133
244,pretest,67.08860759,ALSM1,101,96,117,117,133
270,posttest,85.29411765,ALSM1,107,92,113,119,102
270,pretest,73.41772152,ALSM1,107,92,113,119,102
271,posttest,91.59663866,ALSM1,107,81,85,113,130
271,pretest,86.07594937,ALSM1,107,81,85,113,130
272,posttest,90.33613445,ALSM1,97,76,91,113,86
272,pretest,86.07594937,ALSM1,97,76,91,113,86
273,posttest,81.09243697,ALSM1,112,80,95,97,124
273,pretest,73.41772152,ALSM1,112,80,95,97,124
274,posttest,82.35294118,ALSM1,96,96,105,93,100
274,pretest,69.62025316,ALSM1,96,96,105,93,100
275,posttest,82.77310924,ALSM1,96,97,112,114,124
275,pretest,77.21518987,ALSM1,96,97,112,114,124
276,posttest,91.59663866,ALSM1,102,65,85,95,80
276,pretest,84.81012658,ALSM1,102,65,85,95,80
277,posttest,87.81512605,ALSM1,86,103,125,118,136
277,pretest,82.27848101,ALSM1,86,103,125,118,136
278,posttest,88.23529412,ALSM1,107,129,124,120,129
278,pretest,84.81012658,ALSM1,107,129,124,120,129
279,posttest,84.45378151,ALSM1,107,92,90,119,107
279,pretest,86.07594937,ALSM1,107,92,90,119,107
280,posttest,83.19327731,ALSM1,107,117,122,93,117
280,pretest,77.21518987,ALSM1,107,117,122,93,117
